CLIENTE_ID,CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR_ID,VENDEDOR,FECHA,ESTADO,VALOR_VENTA,COMISION,CATEGORIA
Cliente_2426,Hugo Henao,Vitaminas,196292.65,1,Cartagena,Vendedor_050,Nicolás Ortega,2024-12-09T16:42,Cerrado,196292.65,12902.85,Salud
Cliente_3190,Lorena Castaño,Zapatos,466155.33,3,Barranquilla,Vendedor_137,Carolina Ospina,2022-12-14T05:16,Cerrado,1398465.99,84738.65,Ropa
Cliente_1474,Álvaro Ramírez,Crema,450685.86,1,Bucaramanga,Vendedor_189,Carolina Sánchez,2021-12-25T14:11,Cancelado,450685.86,33357.12,Belleza
Cliente_1102,Yolanda Zapata,Bicicleta,854770.85,4,Manizales,Vendedor_001,Lorena Henao,2022-02-20T09:12,En Proceso,3419083.4,248699.12,Deportes
Cliente_1436,Laura Rojas,Cortinas,529341.68,4,Bogotá,Vendedor_186,Sara Pérez,2023-12-19T04:55,Abierto,2117366.72,89058.54,Hogar
Cliente_0766,Viviana Molina,Muñeco,414239.92,3,Cartagena,Vendedor_042,Juan Mejía,2023-07-30T04:26,Abierto,1242719.76,38377.59,Juguetes
Cliente_2028,Luis Torres,Juguete,287037.93,2,Bogotá,Vendedor_097,Sara Moreno,2021-05-17T09:43,Cancelado,574075.86,41748.83,Mascotas
Cliente_4366,Lorena Salazar,Pala,496564.11,1,Bogotá,Vendedor_052,Carolina Zapata,2021-12-28T07:38,Abierto,496564.11,23068.4,Jardín
Cliente_3894,Camila Vargas,Camisa,727883.54,4,Bogotá,Vendedor_029,Felipe Méndez,2025-09-07T15:08,Cerrado,2911534.16,137877.11,Ropa
Cliente_0898,Sergio Quintero,Alcohol,71542.56,4,Medellín,Vendedor_141,Juan Méndez,2024-07-07T23:20,Cerrado,286170.24,10851.5,Salud
Cliente_2791,Yolanda Rojas,Crema,491545.12,3,Barranquilla,Vendedor_097,Sara Moreno,2024-08-27T19:14,Abierto,1474635.36,95335.71,Belleza
Cliente_0369,Laura Ortega,Pantalón,377954.3,4,Santa Marta,Vendedor_102,Mónica Castro,2021-12-15T05:40,Cerrado,1511817.2,66528.19,Ropa
Cliente_0298,Simón Cortés,Camisa,665552.31,4,Santa Marta,Vendedor_097,Sara Moreno,2021-04-24T13:04,Cancelado,2662209.24,103392.63,Ropa
Cliente_3129,Sergio Salazar,Galletas,69729.1,3,Medellín,Vendedor_150,Viviana Ospina,2022-05-30T22:52,Cerrado,209187.3,11540.77,Alimentos
Cliente_1513,Nicolás Arango,Celular,5427251.96,1,Santa Marta,Vendedor_194,Luis Salazar,2025-02-23T23:03,Cerrado,5427251.96,366452.37,Tecnología
Cliente_3522,Sara Ramírez,Perfume,99174.86,5,Pereira,Vendedor_103,Jorge Caro,2023-06-15T13:42,Cerrado,495874.3,21560.58,Belleza
Cliente_0780,David Gaviria,Alcohol,71542.56,3,Cartagena,Vendedor_032,Fernando Martínez,2024-10-19T05:12,Cancelado,214627.68,14187.31,Salud
Cliente_0599,Verónica Castro,Tablet,1356534.14,4,Manizales,Vendedor_066,Valeria Henao,2023-05-11T12:04,Cerrado,5426136.56,288121.1,Tecnología
Cliente_3576,Yolanda Molina,Vitaminas,191834.73,5,Bucaramanga,Vendedor_100,Verónica Molina,2023-05-17T15:33,Cancelado,959173.65,48139.62,Salud
Cliente_1035,Verónica Cortés,Algodón,482992.0,2,Cali,Vendedor_021,Daniela Ospina,2023-11-29T07:14,Cerrado,965984.0,46344.09,Salud
Cliente_0291,Valeria Pérez,Galletas,73434.65,4,Cartagena,Vendedor_046,Viviana Castaño,2025-08-23T09:15,Cerrado,293738.6,10950.3,Alimentos
Cliente_3944,Verónica Sánchez,Pala,522328.47,1,Manizales,Vendedor_041,Viviana Bedoya,2023-02-13T09:38,Cancelado,522328.47,24357.06,Jardín
Cliente_3527,Sofía Ramírez,Mesa,1230978.74,5,Pereira,Vendedor_195,Alejandro López,2023-11-20T07:19,Cerrado,6154893.7,455231.8,Hogar
Cliente_4648,Juan Rojas,Concentrado,297984.02,1,Medellín,Vendedor_081,Yolanda Torres,2025-06-14T15:05,Cancelado,297984.02,10461.73,Mascotas
Cliente_2996,Óscar Méndez,Arena,87213.85,3,Santa Marta,Vendedor_176,Camila Ramírez,2022-10-21T05:43,Cerrado,261641.55,20385.8,Mascotas
Cliente_2383,David Rodríguez,Pesas,1093536.7,2,Cali,Vendedor_111,Sebastián Quintero,2025-01-25T00:05,Cerrado,2187073.4,77367.34,Deportes
Cliente_3353,Carolina Bedoya,Mouse,1264852.6,1,Cúcuta,Vendedor_102,Mónica Castro,2023-08-04T23:22,Cerrado,1264852.6,60841.41,Tecnología
Cliente_3961,Juan Cortés,Muñeco,433765.86,3,Barranquilla,Vendedor_188,Hugo Rojas,2025-04-04T06:32,Cancelado,1301297.58,78488.17,Juguetes
Cliente_3146,Álvaro Martínez,Chaqueta,644685.58,5,Bogotá,Vendedor_139,Daniela López,2023-04-08T02:14,Cerrado,3223427.9,231738.9,Ropa
Cliente_1598,Camila Pérez,Algodón,495415.18,1,Santa Marta,Vendedor_048,Verónica Quintero,2024-01-18T23:38,Cerrado,495415.18,18419.11,Salud
Cliente_4449,Hugo Rodríguez,Pala,509283.39,2,Cartagena,Vendedor_057,Sergio Cortés,2022-07-26T13:33,Abierto,1018566.78,37743.11,Jardín
Cliente_3517,Sofía Castro,Juguete,299076.69,1,Cali,Vendedor_134,Fernando Molina,2024-01-28T16:39,En Proceso,299076.69,18368.96,Mascotas
Cliente_4387,Laura Ibarra,Arena,87213.85,1,Bogotá,Vendedor_001,Lorena Henao,2022-07-31T19:19,Cancelado,87213.85,3892.99,Mascotas
Cliente_2787,Álvaro Martínez,Sofá,146241.88,2,Medellín,Vendedor_031,Camila Cortés,2023-12-14T01:31,Cancelado,292483.76,18199.83,Hogar
Cliente_2250,Ana Guerrero,Proteína,927906.2,3,Medellín,Vendedor_015,Hugo López,2024-10-26T13:01,Cerrado,2783718.6,197725.19,Deportes
Cliente_4217,Simón Zapata,Chaqueta,644685.58,4,Santa Marta,Vendedor_143,Álvaro Castaño,2023-02-08T21:00,Cerrado,2578742.32,87273.73,Ropa
Cliente_3059,Lorena Pérez,Pantalón,394284.39,4,Medellín,Vendedor_089,Luis Mejía,2023-01-29T21:15,Cancelado,1577137.56,113908.3,Ropa
Cliente_3880,Andrés Vargas,Televisor,582993.53,4,Medellín,Vendedor_003,Yolanda Cortés,2022-07-24T11:36,Cancelado,2331974.12,74341.63,Tecnología
Cliente_4450,Álvaro Méndez,Crema,491545.12,4,Cúcuta,Vendedor_149,Felipe Ospina,2024-07-15T11:10,Cancelado,1966180.48,147348.14,Belleza
Cliente_1421,Sebastián Castro,Lámpara,1411959.96,2,Cúcuta,Vendedor_132,Vanessa Ospina,2023-11-13T15:51,Cancelado,2823919.92,222470.97,Hogar
Cliente_0966,Nicolás Méndez,Concentrado,291606.46,5,Cali,Vendedor_144,David Rojas,2023-07-03T01:41,Cancelado,1458032.3,92399.53,Mascotas
Cliente_0748,Felipe Martínez,Manguera,493182.92,1,Pereira,Vendedor_033,Mónica Molina,2021-02-15T03:22,Cerrado,493182.92,39066.38,Jardín
Cliente_3000,Sara Martínez,Muñeco,395592.94,4,Cartagena,Vendedor_175,Viviana Moreno,2021-07-14T15:48,Cerrado,1582371.76,112505.99,Juguetes
Cliente_4039,Carolina Salazar,Arena,85587.04,1,Cartagena,Vendedor_037,Simón Moreno,2021-01-14T04:23,En Proceso,85587.04,2757.47,Mascotas
Cliente_4882,Luis López,Pesas,1093536.7,4,Barranquilla,Vendedor_115,Jorge Rojas,2025-02-12T05:44,Cerrado,4374146.8,132057.89,Deportes
Cliente_0164,Juan Mejía,Muñeco,433765.86,1,Manizales,Vendedor_112,Hugo Ortega,2025-02-14T16:51,Cerrado,433765.86,13464.06,Juguetes
Cliente_0009,Sara Vargas,Zapatos,454485.08,2,Cúcuta,Vendedor_044,Yolanda Gaviria,2021-05-01T02:17,Cerrado,908970.16,47807.6,Ropa
Cliente_3396,Óscar Vargas,Pesas,1012552.35,2,Manizales,Vendedor_076,Felipe Méndez,2021-03-24T01:51,Abierto,2025104.7,123873.89,Deportes
Cliente_1348,Simón Ortega,Muñeco,423890.47,4,Santa Marta,Vendedor_011,Carolina Zapata,2024-10-13T13:49,Cancelado,1695561.88,91685.12,Juguetes
Cliente_2380,Simón Salazar,Balón,701796.91,1,Medellín,Vendedor_095,Ana Cortés,2023-07-17T20:06,Cancelado,701796.91,44814.31,Deportes
Cliente_0394,Sara Henao,Laptop,928401.22,2,Pereira,Vendedor_136,Daniela Rodríguez,2022-07-01T04:21,Cerrado,1856802.44,97445.24,Tecnología
Cliente_0377,Simón Gaviria,Chaqueta,644685.58,2,Santa Marta,Vendedor_062,Nicolás Cortés,2023-12-24T07:09,Cerrado,1289371.16,41425.16,Ropa
Cliente_2641,Viviana Rodríguez,Juguete,290996.02,4,Cartagena,Vendedor_108,Verónica Moreno,2022-02-23T01:47,Cerrado,1163984.08,48082.24,Mascotas
Cliente_3443,Álvaro Martínez,Silla,1699661.12,5,Santa Marta,Vendedor_191,Viviana Ospina,2021-12-17T08:48,Cancelado,8498305.6,676730.37,Hogar
Cliente_4432,Fernando Henao,Pantalón,386033.01,4,Barranquilla,Vendedor_047,Fernando Gaviria,2022-10-12T16:48,Cerrado,1544132.04,73026.93,Ropa
Cliente_2415,Felipe Martínez,Cortinas,554687.52,3,Cúcuta,Vendedor_059,Simón Cortés,2025-05-03T15:39,Abierto,1664062.56,76943.4,Hogar
Cliente_3228,Daniela Mejía,Pala,535707.7,2,Santa Marta,Vendedor_024,Alejandro Méndez,2024-09-18T07:46,Cerrado,1071415.4,40327.65,Jardín
Cliente_4301,Sergio Gómez,Camisa,665552.31,5,Pereira,Vendedor_109,Noelia Mejía,2021-12-03T02:08,Abierto,3327761.55,264081.79,Ropa
Cliente_2160,Noelia Arango,Bicicleta,864409.55,1,Manizales,Vendedor_041,Viviana Bedoya,2023-09-21T02:57,Cerrado,864409.55,35892.85,Deportes
Cliente_1044,Simón Bedoya,Arroz,86514.28,1,Cartagena,Vendedor_171,Valeria Gaviria,2025-04-13T19:44,Abierto,86514.28,5393.42,Alimentos
Cliente_4128,Álvaro Arango,Crema,505972.06,2,Barranquilla,Vendedor_059,Simón Cortés,2025-08-10T11:02,Abierto,1011944.12,32485.81,Belleza
Cliente_0012,Sara López,Manguera,517614.32,2,Cartagena,Vendedor_133,Hugo Naranjo,2024-09-10T23:12,Cerrado,1035228.64,34497.56,Jardín
Cliente_1380,Nicolás Ospina,Rompecabezas,321011.98,3,Santa Marta,Vendedor_038,Ana Cortés,2021-08-16T19:49,Cerrado,963035.94,63403.96,Juguetes
Cliente_0653,Nicolás Caro,Zapatos,466155.33,5,Bogotá,Vendedor_065,Felipe Gómez,2022-03-02T15:12,Cerrado,2330776.65,143945.06,Ropa
Cliente_3218,Hugo Castaño,Sofá,143552.52,4,Cali,Vendedor_035,Jorge Caro,2022-01-22T11:59,Cerrado,574210.08,36754.11,Hogar
Cliente_1349,Verónica Gaviria,Algodón,459072.42,2,Bucaramanga,Vendedor_111,Sebastián Quintero,2021-09-24T12:22,Abierto,918144.84,38147.56,Salud
Cliente_1722,Alejandro Rodríguez,Manguera,493182.92,2,Barranquilla,Vendedor_006,Noelia Guerrero,2021-11-06T23:26,Cerrado,986365.84,78164.02,Jardín
Cliente_3262,Fernando Ospina,Arena,87213.85,4,Pereira,Vendedor_017,Álvaro Cortés,2022-07-14T02:23,Cancelado,348855.4,20205.27,Mascotas
Cliente_1482,Lorena Torres,Mouse,1264852.6,2,Barranquilla,Vendedor_101,Fernando Rojas,2023-09-10T03:25,Cerrado,2529705.2,198524.71,Tecnología
Cliente_1814,Lorena Ibarra,Balón,691735.77,5,Pereira,Vendedor_110,Jorge Quintero,2022-12-05T13:50,Abierto,3458678.85,132151.03,Deportes
Cliente_2496,Viviana Naranjo,Concentrado,291606.46,3,Medellín,Vendedor_066,Valeria Henao,2023-01-15T00:03,Cerrado,874819.38,43964.03,Mascotas
Cliente_0592,Alejandro Salazar,Algodón,470880.35,3,Barranquilla,Vendedor_087,Yolanda Vargas,2022-03-11T13:08,Cerrado,1412641.05,66089.39,Salud
Cliente_4676,David Torres,Chaqueta,627139.13,5,Pereira,Vendedor_084,Yolanda Moreno,2021-09-25T00:49,Cerrado,3135695.65,212455.13,Ropa
Cliente_4908,Vanessa Naranjo,Algodón,508157.89,2,Bucaramanga,Vendedor_152,Sergio Cortés,2025-11-02T00:57,Abierto,1016315.78,68477.91,Salud
Cliente_3566,Nicolás Bedoya,Alcohol,69491.69,3,Manizales,Vendedor_090,Valeria Ramírez,2023-11-26T00:36,Cerrado,208475.07,11325.86,Salud
Cliente_0542,David Gómez,Proteína,882677.76,3,Pereira,Vendedor_170,Laura Rojas,2022-02-11T00:36,Abierto,2648033.28,81579.02,Deportes
Cliente_2363,Alejandro Henao,Algodón,495415.18,2,Barranquilla,Vendedor_044,Yolanda Gaviria,2024-12-03T01:27,Cerrado,990830.36,38404.87,Salud
Cliente_1776,Andrés Molina,Arroz,86514.28,1,Bucaramanga,Vendedor_040,Hugo Molina,2025-01-08T13:29,En Proceso,86514.28,2812.86,Alimentos
Cliente_0832,Valeria López,Leche,54020.42,2,Santa Marta,Vendedor_081,Yolanda Torres,2025-09-06T06:24,Abierto,108040.84,7816.83,Alimentos
Cliente_4384,Daniela Ortega,Pala,496564.11,1,Santa Marta,Vendedor_017,Álvaro Cortés,2021-10-09T07:41,Abierto,496564.11,22091.43,Jardín
Cliente_2076,Sebastián Guerrero,Abono,575255.41,4,Bogotá,Vendedor_135,Jorge Mejía,2024-02-06T11:11,Cancelado,2301021.64,82597.78,Jardín
Cliente_3264,Juan Martínez,Mesa,1270101.35,1,Manizales,Vendedor_079,Yolanda Moreno,2025-09-30T01:44,Cerrado,1270101.35,60594.78,Hogar
Cliente_3456,Nicolás Quintero,Algodón,495415.18,2,Bucaramanga,Vendedor_074,Sara Caro,2024-11-27T04:37,Abierto,990830.36,33553.94,Salud
Cliente_1599,Alejandro Ramírez,Silla,1726989.97,5,Bogotá,Vendedor_107,Sara Salazar,2022-02-03T17:24,Cerrado,8634949.85,681667.61,Hogar
Cliente_1744,Yolanda Salazar,Alcohol,73653.96,3,Pereira,Vendedor_017,Álvaro Cortés,2025-04-28T21:11,Abierto,220961.88,10109.09,Salud
Cliente_4852,Sergio Zapata,Monitor,3598066.26,4,Bogotá,Vendedor_076,Felipe Méndez,2023-01-16T13:05,Cerrado,14392265.04,1103215.11,Tecnología
Cliente_4123,Simón Rojas,Concentrado,291606.46,4,Barranquilla,Vendedor_195,Alejandro López,2023-05-15T09:49,Cerrado,1166425.84,74810.39,Mascotas
Cliente_2506,Andrés Mejía,Arena,88871.59,2,Pereira,Vendedor_126,Sofía Torres,2023-09-15T12:59,Abierto,177743.18,10363.38,Mascotas
Cliente_2668,Luis Mejía,Juguete,299076.69,4,Cúcuta,Vendedor_115,Jorge Rojas,2024-09-25T19:43,Cerrado,1196306.76,64331.22,Mascotas
Cliente_0041,Juan Méndez,Abono,544029.67,2,Bucaramanga,Vendedor_102,Mónica Castro,2021-08-01T15:57,Cerrado,1088059.34,70037.3,Jardín
Cliente_1022,Andrés Quintero,Camisa,696020.52,4,Cúcuta,Vendedor_094,Noelia Henao,2023-08-12T09:35,Cerrado,2784082.08,179054.81,Ropa
Cliente_0031,Daniela Pérez,Concentrado,294777.99,4,Cúcuta,Vendedor_188,Hugo Rojas,2024-12-15T03:18,Cancelado,1179111.96,35993.63,Mascotas
Cliente_4030,Álvaro Gaviria,Aceite,180783.8,5,Bucaramanga,Vendedor_187,Felipe Cortés,2023-08-28T18:06,Cerrado,903919.0,68145.72,Alimentos
Cliente_4706,Noelia Ramírez,Juguete,290996.02,5,Medellín,Vendedor_082,Noelia Ortega,2022-05-01T15:27,Cerrado,1454980.1,70418.38,Mascotas
Cliente_0811,Sofía Cortés,Crema,450685.86,1,Pereira,Vendedor_185,Andrés Torres,2021-04-10T12:15,En Proceso,450685.86,21481.34,Belleza
Cliente_1406,Simón Arango,Pantalón,394284.39,2,Bogotá,Vendedor_017,Álvaro Cortés,2023-08-30T02:37,En Proceso,788568.78,39688.29,Ropa
Cliente_1762,Sofía Quintero,Perfume,100393.78,3,Cúcuta,Vendedor_064,Daniela Henao,2024-05-28T12:35,Cerrado,301181.34,19355.16,Belleza
Cliente_4061,Mónica Ibarra,Perfume,99174.86,2,Barranquilla,Vendedor_061,Mónica Arango,2023-08-30T18:03,Cerrado,198349.72,9679.64,Belleza
Cliente_2037,Fernando Méndez,Tablet,1406280.03,4,Manizales,Vendedor_140,David Bedoya,2025-09-28T11:55,Cerrado,5625120.12,273895.83,Tecnología
Cliente_0218,Sofía Guerrero,Silla,1754758.25,5,Manizales,Vendedor_122,Verónica Rodríguez,2023-12-02T11:14,En Proceso,8773791.25,291055.12,Hogar
Cliente_2930,Ana Martínez,Galletas,70943.02,2,Bucaramanga,Vendedor_095,Ana Cortés,2023-06-18T13:09,Cerrado,141886.04,7212.36,Alimentos
Cliente_0735,Felipe Naranjo,Sofá,140912.61,5,Santa Marta,Vendedor_052,Carolina Zapata,2021-04-09T02:22,Cerrado,704563.05,26402.74,Hogar
Cliente_3226,Fernando Bedoya,Chaqueta,644685.58,5,Manizales,Vendedor_102,Mónica Castro,2023-09-15T14:24,Cerrado,3223427.9,234599.35,Ropa
Cliente_4284,Simón Henao,Manguera,493182.92,5,Cúcuta,Vendedor_054,Álvaro Castaño,2021-10-26T02:49,Cerrado,2465914.6,115221.23,Jardín
Cliente_0339,Ana López,Manguera,517614.32,1,Bogotá,Vendedor_100,Verónica Molina,2024-07-05T08:01,Cerrado,517614.32,40396.37,Jardín
Cliente_4971,Jorge Guerrero,Zapatos,454485.08,2,Bucaramanga,Vendedor_068,Nicolás Rojas,2021-10-12T23:42,Abierto,908970.16,58379.88,Ropa
Cliente_3316,Sebastián López,Alcohol,73653.96,1,Santa Marta,Vendedor_178,Mónica Rojas,2025-05-23T00:56,Cerrado,73653.96,4994.3,Salud
Cliente_0260,Ana Zapata,Crema,463913.58,1,Cúcuta,Vendedor_150,Viviana Ospina,2022-06-19T00:38,Cerrado,463913.58,35901.14,Belleza
Cliente_1101,Daniela Vargas,Tablet,1356534.14,1,Bucaramanga,Vendedor_036,Camila Arango,2023-02-07T06:48,Cancelado,1356534.14,56902.18,Tecnología
Cliente_0839,Fernando Zapata,Arena,85587.04,3,Bogotá,Vendedor_189,Carolina Sánchez,2021-09-14T04:59,Cerrado,256761.12,14985.75,Mascotas
Cliente_4419,Andrés Arango,Crema,463913.58,1,Cali,Vendedor_132,Vanessa Ospina,2022-01-08T12:25,Cerrado,463913.58,14862.07,Belleza
Cliente_3615,Viviana Castaño,Manguera,526024.17,2,Cartagena,Vendedor_071,Noelia Ortega,2025-06-18T22:57,Cerrado,1052048.34,36861.6,Jardín
Cliente_1865,Óscar Guerrero,Perfume,97970.74,5,Pereira,Vendedor_107,Sara Salazar,2022-05-17T13:24,Abierto,489853.7,23674.31,Belleza
Cliente_2648,Jorge Gaviria,Maquillaje,528406.72,5,Santa Marta,Vendedor_040,Hugo Molina,2023-06-26T21:40,Cerrado,2642033.6,169420.65,Belleza
Cliente_1742,Sergio Quintero,Monitor,3690730.19,5,Bogotá,Vendedor_010,Yolanda Sánchez,2025-10-02T02:44,Abierto,18453650.95,1320998.7,Tecnología
Cliente_2030,Noelia Mejía,Perfume,100393.78,1,Barranquilla,Vendedor_085,Viviana Salazar,2024-01-08T11:32,Cerrado,100393.78,4298.88,Belleza
Cliente_3191,Hugo Ibarra,Juguete,287037.93,4,Cali,Vendedor_157,Mónica Naranjo,2021-03-15T14:54,Cerrado,1148151.72,77447.27,Mascotas
Cliente_0973,Óscar Castaño,Balón,691735.77,4,Santa Marta,Vendedor_071,Noelia Ortega,2022-09-25T00:56,Cerrado,2766943.08,114038.34,Deportes
Cliente_3799,Carolina Castro,Manguera,501195.83,1,Medellín,Vendedor_077,Fernando Rodríguez,2022-11-15T22:58,Cerrado,501195.83,15187.63,Jardín
Cliente_4728,Verónica Torres,Teclado,4374274.62,5,Cali,Vendedor_199,Sergio Arango,2022-05-04T09:40,Cerrado,21871373.1,715645.57,Tecnología
Cliente_4871,Camila Salazar,Balón,691735.77,3,Cali,Vendedor_198,Sergio Vargas,2022-03-03T09:44,Abierto,2075207.31,123014.0,Deportes
Cliente_0862,Luis Caro,Chaqueta,644685.58,5,Medellín,Vendedor_093,Sofía Rodríguez,2023-06-09T14:48,Cerrado,3223427.9,176828.8,Ropa
Cliente_2059,Viviana Ibarra,Muñeco,404809.08,1,Pereira,Vendedor_009,Sebastián Sánchez,2022-10-29T14:37,Cerrado,404809.08,17617.8,Juguetes
Cliente_1327,Sofía Vargas,Arroz,79511.55,4,Cartagena,Vendedor_136,Daniela Rodríguez,2022-06-05T08:42,En Proceso,318046.2,9645.51,Alimentos
Cliente_3175,Daniela Gaviria,Leche,51578.69,1,Cartagena,Vendedor_143,Álvaro Castaño,2023-01-01T03:40,Cerrado,51578.69,3012.22,Alimentos
Cliente_1622,Lorena Vargas,Zapatos,466155.33,5,Santa Marta,Vendedor_183,Ana Martínez,2022-08-31T13:35,Cerrado,2330776.65,165206.22,Ropa
Cliente_1974,Nicolás Vargas,Muñeco,404809.08,4,Bucaramanga,Vendedor_190,David Torres,2022-02-09T09:52,Cerrado,1619236.32,54126.61,Juguetes
Cliente_0693,Camila Ospina,Vitaminas,191834.73,1,Barranquilla,Vendedor_126,Sofía Torres,2023-03-12T11:07,Cerrado,191834.73,12819.11,Salud
Cliente_2800,Felipe Rojas,Monitor,3690730.19,2,Barranquilla,Vendedor_022,Jorge Ibarra,2025-07-24T23:43,En Proceso,7381460.38,455636.37,Tecnología
Cliente_2682,Alejandro Ibarra,Galletas,70943.02,2,Cúcuta,Vendedor_050,Nicolás Ortega,2023-06-14T03:17,En Proceso,141886.04,7657.27,Alimentos
Cliente_2758,Lorena Sánchez,Algodón,482992.0,1,Cartagena,Vendedor_144,David Rojas,2023-11-23T11:31,Cerrado,482992.0,15657.18,Salud
Cliente_1707,Lorena Vargas,Monitor,3690730.19,1,Medellín,Vendedor_122,Verónica Rodríguez,2025-10-07T06:24,En Proceso,3690730.19,281154.55,Tecnología
Cliente_3780,Carolina Caro,Alcohol,69491.69,5,Pereira,Vendedor_088,Sara Henao,2023-12-21T20:45,Cerrado,347458.45,18718.3,Salud
Cliente_3040,Nicolás Ortega,Leche,50399.52,5,Manizales,Vendedor_081,Yolanda Torres,2022-01-30T20:01,En Proceso,251997.6,12594.93,Alimentos
Cliente_0883,Sofía Molina,Rompecabezas,327776.21,3,Cali,Vendedor_142,Sebastián Cortés,2022-12-06T12:01,Cancelado,983328.63,71855.53,Juguetes
Cliente_1840,Camila Martínez,Leche,51578.69,5,Cartagena,Vendedor_085,Viviana Salazar,2023-05-13T17:48,Cerrado,257893.45,18640.26,Alimentos
Cliente_3304,Jorge Méndez,Chaqueta,644685.58,4,Cartagena,Vendedor_031,Camila Cortés,2023-04-20T09:58,Cerrado,2578742.32,171133.2,Ropa
Cliente_0583,Carolina Cortés,Abono,544029.67,1,Medellín,Vendedor_196,Felipe Ramírez,2021-09-22T08:04,Abierto,544029.67,38880.71,Jardín
Cliente_1762,Sofía Quintero,Lámpara,1339598.16,4,Bogotá,Vendedor_070,Viviana Moreno,2021-07-07T02:50,Cerrado,5358392.64,194061.82,Hogar
Cliente_4363,Fernando Martínez,Perfume,97970.74,1,Manizales,Vendedor_056,Hugo Martínez,2022-09-11T19:10,Cerrado,97970.74,6666.5,Belleza
Cliente_2209,Juan Méndez,Perfume,101627.68,5,Pereira,Vendedor_014,Vanessa Cortés,2025-06-05T09:57,Abierto,508138.4,23578.49,Belleza
Cliente_2549,Sergio Pérez,Juguete,299076.69,2,Manizales,Vendedor_094,Noelia Henao,2024-06-22T04:55,Cerrado,598153.38,43889.35,Mascotas
Cliente_3408,Felipe López,Muñeco,433765.86,1,Barranquilla,Vendedor_198,Sergio Vargas,2025-01-28T03:47,Cerrado,433765.86,21042.66,Juguetes
Cliente_1610,Jorge Torres,Pala,496564.11,2,Cartagena,Vendedor_032,Fernando Martínez,2021-11-05T10:46,Cerrado,993128.22,32490.39,Jardín
